EqName	SwordShieldWFreeStand	ShieldSwordWFreeStand	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	SwordShieldWStand	ShieldSwordWStand	GuqinWStand1	GuqinWStand2	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	SwordShieldWWalk	ShieldSwordWWalk	GuqinWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	SwordShieldWRun	ShieldSwordWRun	GuqinWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	SwordShieldWWound	ShieldSwordWWound	GuqinWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	SwordShieldWDie	ShieldSwordWDie	GuqinWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	SwordShieldWChop	SwordShieldWCut	ShieldSwordWChop	ShieldSwordWCut	GuqinWPuncture	GuqinWCut	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SwordShieldWMagic	ShieldSwordWMagic	GuqinWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2	ChangeColor
Tr­êng C«n 3			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1						96,8,1	96,8,1	96,8,1	96,8,1					96,8,1	96,8,1	96,8,1	96,8,1					64,8,1	64,8,1	48,8,1					104,8,1	120,8,1	80,8,1					96,8,1	104,8,1	104,8,1	104,8,1	96,8,1									96,8,1	96,8,1	80,8,1	96,8,1					96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Song KiÕm 1			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1					96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				64,8,1	64,8,1	48,8,1	48,8,1				104,8,1	120,8,1	80,8,1	80,8,1				96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1							96,8,1	96,8,1	80,8,1	96,8,1	80,8,1				96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Song KiÕm 2			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1					96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				64,8,1	64,8,1	48,8,1	48,8,1				104,8,1	120,8,1	80,8,1	80,8,1				96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1							96,8,1	96,8,1	80,8,1	96,8,1	80,8,1				96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Song KiÕm 3			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1					96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				64,8,1	64,8,1	48,8,1	48,8,1				104,8,1	120,8,1	80,8,1	80,8,1				96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1							96,8,1	96,8,1	80,8,1	96,8,1	80,8,1				96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Song Chïy 1			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1					96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				64,8,1	64,8,1	48,8,1	48,8,1				104,8,1	120,8,1	80,8,1	80,8,1				96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1							96,8,1	96,8,1	80,8,1	96,8,1	80,8,1				96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Song Chïy 2			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1					96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				64,8,1	64,8,1	48,8,1	48,8,1				104,8,1	120,8,1	80,8,1	80,8,1				96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1							96,8,1	96,8,1	80,8,1	96,8,1	80,8,1				96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Song Chïy 3			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1					96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				64,8,1	64,8,1	48,8,1	48,8,1				104,8,1	120,8,1	80,8,1	80,8,1				96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1							96,8,1	96,8,1	80,8,1	96,8,1	80,8,1				96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
¸m KhÝ			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1					96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				64,8,1	64,8,1	48,8,1	48,8,1				104,8,1	120,8,1	80,8,1	80,8,1				96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1							96,8,1	96,8,1	80,8,1	96,8,1	80,8,1				96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
§¬n KiÕm 4			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1						96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				64,8,1	64,8,1	48,8,1					104,8,1	120,8,1	80,8,1					96,8,1	104,8,1	104,8,1	104,8,1	96,8,1		96,8,1							96,8,1	96,8,1	80,8,1	96,8,1					96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
§¬n KiÕm 5			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1						96,8,1	96,8,1	96,8,1	96,8,1					96,8,1	96,8,1	96,8,1	96,8,1					64,8,1	64,8,1	48,8,1					104,8,1	120,8,1	80,8,1					96,8,1	104,8,1	104,8,1	104,8,1	96,8,1									96,8,1	96,8,1	80,8,1	96,8,1					96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
§¬n §ao 4			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1						96,8,1	96,8,1	96,8,1	96,8,1					96,8,1	96,8,1	96,8,1	96,8,1					64,8,1	64,8,1	48,8,1					104,8,1	120,8,1	80,8,1					96,8,1	104,8,1	104,8,1	104,8,1	96,8,1									96,8,1	96,8,1	80,8,1	96,8,1					96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
§¬n §ao 5			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1						96,8,1	96,8,1	96,8,1	96,8,1					96,8,1	96,8,1	96,8,1	96,8,1					64,8,1	64,8,1	48,8,1					104,8,1	120,8,1	80,8,1					96,8,1	104,8,1	104,8,1	104,8,1	96,8,1									96,8,1	96,8,1	80,8,1	96,8,1					96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Tr­êng Th­¬ng 4			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1						96,8,1	96,8,1	96,8,1	96,8,1					96,8,1	96,8,1	96,8,1	96,8,1					64,8,1	64,8,1	48,8,1					104,8,1	120,8,1	80,8,1					96,8,1	104,8,1	104,8,1	104,8,1	96,8,1									96,8,1	96,8,1	80,8,1	96,8,1					96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Tr­êng Th­¬ng 5			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1						96,8,1	96,8,1	96,8,1	96,8,1					96,8,1	96,8,1	96,8,1	96,8,1					64,8,1	64,8,1	48,8,1					104,8,1	120,8,1	80,8,1					96,8,1	104,8,1	104,8,1	104,8,1	96,8,1									96,8,1	96,8,1	80,8,1	96,8,1					96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Tr­êng C«n 4			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1						96,8,1	96,8,1	96,8,1	96,8,1					96,8,1	96,8,1	96,8,1	96,8,1					64,8,1	64,8,1	48,8,1					104,8,1	120,8,1	80,8,1					96,8,1	104,8,1	104,8,1	104,8,1	96,8,1									96,8,1	96,8,1	80,8,1	96,8,1					96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Tr­êng C«n 5			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1						96,8,1	96,8,1	96,8,1	96,8,1					96,8,1	96,8,1	96,8,1	96,8,1					64,8,1	64,8,1	48,8,1					104,8,1	120,8,1	80,8,1					96,8,1	104,8,1	104,8,1	104,8,1	96,8,1									96,8,1	96,8,1	80,8,1	96,8,1					96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Song KiÕm 4			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1					96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				64,8,1	64,8,1	48,8,1	48,8,1				104,8,1	120,8,1	80,8,1	80,8,1				96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1							96,8,1	96,8,1	80,8,1	96,8,1	80,8,1				96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Song KiÕm 5			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1					96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				64,8,1	64,8,1	48,8,1	48,8,1				104,8,1	120,8,1	80,8,1	80,8,1				96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1							96,8,1	96,8,1	80,8,1	96,8,1	80,8,1				96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Song Chïy 4			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1					96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				64,8,1	64,8,1	48,8,1	48,8,1				104,8,1	120,8,1	80,8,1	80,8,1				96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1							96,8,1	96,8,1	80,8,1	96,8,1	80,8,1				96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Song Chïy 5			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1					96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				64,8,1	64,8,1	48,8,1	48,8,1				104,8,1	120,8,1	80,8,1	80,8,1				96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1							96,8,1	96,8,1	80,8,1	96,8,1	80,8,1				96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
§¬n §ao 6 ( Kim )			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1						96,8,1	96,8,1	96,8,1	96,8,1					96,8,1	96,8,1	96,8,1	96,8,1					64,8,1	64,8,1	48,8,1					104,8,1	120,8,1	80,8,1					96,8,1	104,8,1	104,8,1	104,8,1	96,8,1									96,8,1	96,8,1	80,8,1	96,8,1					96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
§¬n §ao 7 ( Thñy )			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1						96,8,1	96,8,1	96,8,1	96,8,1					96,8,1	96,8,1	96,8,1	96,8,1					64,8,1	64,8,1	48,8,1					104,8,1	120,8,1	80,8,1					96,8,1	104,8,1	104,8,1	104,8,1	96,8,1									96,8,1	96,8,1	80,8,1	96,8,1					96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
§¬n §ao 8 ( Méc )			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1						96,8,1	96,8,1	96,8,1	96,8,1					96,8,1	96,8,1	96,8,1	96,8,1					64,8,1	64,8,1	48,8,1					104,8,1	120,8,1	80,8,1					96,8,1	104,8,1	104,8,1	104,8,1	96,8,1									96,8,1	96,8,1	80,8,1	96,8,1					96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
§¬n §ao 9 ( Thæ )			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1						96,8,1	96,8,1	96,8,1	96,8,1					96,8,1	96,8,1	96,8,1	96,8,1					64,8,1	64,8,1	48,8,1					104,8,1	120,8,1	80,8,1					96,8,1	104,8,1	104,8,1	104,8,1	96,8,1									96,8,1	96,8,1	80,8,1	96,8,1					96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
§¬n KiÕm 6 ( Thñy )			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1						96,8,1	96,8,1	96,8,1	96,8,1					96,8,1	96,8,1	96,8,1	96,8,1					64,8,1	64,8,1	48,8,1					104,8,1	120,8,1	80,8,1					96,8,1	104,8,1	104,8,1	104,8,1	96,8,1									96,8,1	96,8,1	80,8,1	96,8,1					96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
§¬n KiÕm 7 ( Thæ )			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1						96,8,1	96,8,1	96,8,1	96,8,1					96,8,1	96,8,1	96,8,1	96,8,1					64,8,1	64,8,1	48,8,1					104,8,1	120,8,1	80,8,1					96,8,1	104,8,1	104,8,1	104,8,1	96,8,1									96,8,1	96,8,1	80,8,1	96,8,1					96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Tr­êng Th­¬ng 6 ( Kim )			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1						96,8,1	96,8,1	96,8,1	96,8,1					96,8,1	96,8,1	96,8,1	96,8,1					64,8,1	64,8,1	48,8,1					104,8,1	120,8,1	80,8,1					96,8,1	104,8,1	104,8,1	104,8,1	96,8,1									96,8,1	96,8,1	80,8,1	96,8,1					96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Tr­êng Th­¬ng 7 ( Háa )			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1						96,8,1	96,8,1	96,8,1	96,8,1					96,8,1	96,8,1	96,8,1	96,8,1					64,8,1	64,8,1	48,8,1					104,8,1	120,8,1	80,8,1					96,8,1	104,8,1	104,8,1	104,8,1	96,8,1									96,8,1	96,8,1	80,8,1	96,8,1					96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Tr­êng C«n 6 ( Kim )			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1						96,8,1	96,8,1	96,8,1	96,8,1					96,8,1	96,8,1	96,8,1	96,8,1					64,8,1	64,8,1	48,8,1					104,8,1	120,8,1	80,8,1					96,8,1	104,8,1	104,8,1	104,8,1	96,8,1									96,8,1	96,8,1	80,8,1	96,8,1					96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Tr­êng C«n 7 ( Háa )			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1						96,8,1	96,8,1	96,8,1	96,8,1					96,8,1	96,8,1	96,8,1	96,8,1					64,8,1	64,8,1	48,8,1					104,8,1	120,8,1	80,8,1					96,8,1	104,8,1	104,8,1	104,8,1	96,8,1									96,8,1	96,8,1	80,8,1	96,8,1					96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Song KiÕm 6 ( Thñy )			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1					96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				64,8,1	64,8,1	48,8,1	48,8,1				104,8,1	120,8,1	80,8,1	80,8,1				96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1							96,8,1	96,8,1	80,8,1	96,8,1	80,8,1				96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Song Chïy 6 ( Kim )			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1					96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				64,8,1	64,8,1	48,8,1	48,8,1				104,8,1	120,8,1	80,8,1	80,8,1				96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1							96,8,1	96,8,1	80,8,1	96,8,1	80,8,1				96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Song TriÒn Thñ - Kim			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1					96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				64,8,1	64,8,1	48,8,1	48,8,1				104,8,1	120,8,1	80,8,1	80,8,1				96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1							96,8,1	96,8,1	80,8,1	96,8,1	80,8,1				96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Song TriÒn Thñ - Thñy			80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1					96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				96,8,1	96,8,1	96,8,1	96,8,1	96,8,1				64,8,1	64,8,1	48,8,1	48,8,1				104,8,1	120,8,1	80,8,1	80,8,1				96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1							96,8,1	96,8,1	80,8,1	96,8,1	80,8,1				96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
