ItemGenre	DetailType	ParticularType	ÎåÐÐÊôÐÔ	µÈ¼¶	ÒøÁ½	¸£Ôµ	Í­Ç®	»ý·Ö	ÈÙÓþµã	ÊÇ·ñ×ö½»Ò×¼ÇÂ¼	ÉÌÆ·ÏÖ¼Û	´ÙÏú¿ªÊ¼Ê±¼ä	´ÙÏú½áÊøÈÕÆÚ	ÏúÊÛ¿ªÊ¼Ê±¼ä	ÏúÊÛ½áÊøÈÕÆÚ	µÀ¾ßÃû³Æ£¨±ØÐë·Å×îºó£¬³ÌÐò²»¶Á£©	ÍþÍû	ÉÌÆ·ÏÖ¼Û	´ÙÏú¿ªÊ¼Ê±¼ä	´ÙÏú½áÊøÈÕÆÚ	ÏúÊÛ¿ªÊ¼Ê±¼ä	ÏúÊÛ½áÊøÈÕÆÚ	±£ÖµÆÚ£¨·ÖÖÓ£¬ÏÖÊµÊ±¼ä£©	Ê¹ÓÃÆÚ£¨·ÖÖÓ£¬ÔÚÏßÊ±¼ä£©	ÏûºÄÀàÐÍ(0-Ò»´Î;1-ÎÞÏÞ´Î)	µÀ¾ßÃû³Æ£¨±ØÐë·Å×îºó£¬³ÌÐò²»¶Á£©
0	2	1	0	6	2500					0																ÐþÎä·¨ÒÂ
0	2	1	0	7	3500					0																Æß±¦Ï¼ÒÂ
0	2	1	0	8	4500					0																ÈýÇåÅÛ
0	2	1	0	9	6000					0																Ç§Äêº×ë©
0	2	1	0	10	8000					0																ÕæÎäÊ¥ÒÂ
0	2	2	4	1	100					0																ËòÒÂ
0	2	2	4	2	500					0																Ï¸ÖñËòÒÂ
0	2	2	4	3	1000					0																´Ì¿Í×°
0	2	2	4	4	2500					0																ÃÎÃÔÒÂ
0	2	2	4	5	6000					0																ÎÞÉ«ÒÂ
0	2	2	4	6	10000					0																ÓæÈÌ×°
0	2	2	4	7	15000					0																Á¬ÔÆÒÂ
0	2	2	4	8	20000					0																ÌìÃÎÒÂ
0	2	2	4	9	25000					0																ÎÞÓ¹¾¢×°
0	2	2	4	10	30000					0																Ç§ÈÌÃØ×°
0	2	3	3	1	100					0																´Ö²¼³¤ÅÛ
0	2	3	3	2	400					0																Çá¸ðÉÀ
0	2	3	3	3	800					0																¶ÐÅÛ 
0	2	3	3	4	2000					0																ÒÝÏÀ×°
0	2	3	3	5	5000					0																ÈÎÏÀ·þ
0	2	3	3	6	7000					0																Á÷²Ê·þ
0	2	3	3	7	9000					0																ÒøË¿ÅÛ
0	2	3	3	8	12000					0																×Ï½ðÅÛ
0	2	3	3	9	16000					0																º®ËªÅÛ
0	2	3	3	10	20000					0																ç­É´ÅÛ
0	2	4	3	1	400					0																Ëø×Ó¼×
0	2	4	3	2	1000					0																Á½ñÉÛî
0	2	4	3	3	2500					0																Ã÷¹âîø
0	2	4	3	4	5000					0																Ï¸ÁÛ¼×
0	2	4	3	5	10000					0																Äñ´¸¼×
0	2	4	3	6	16000					0																É½ÎÄ×Ö¼×
0	2	4	3	7	25000					0																â³õô¼×
0	2	4	3	8	32000					0																â¡â¥¼×
0	2	4	3	9	40000					0																Ëø×Ó»Æ½ð¼×
0	2	4	3	10	50000					0																ÌÆâ¥¼×
0	2	5	0	1	100					0																ÀÃ²¼ÒÂ
0	2	5	0	2	250					0																ÆÕÍ¨Ø¤ÒÂ
0	2	5	0	3	500					0																½Ð»¯ÒÂ
0	2	5	0	4	800					0																ÍÁÂéØ¤ÒÂ
0	2	5	0	5	1200					0																Ý¡ÂéØ¤ÒÂ
0	2	5	0	6	1800					0																»ðÂéØ¤ÒÂ
0	2	5	0	7	2500					0																Ê®·½Ø¤ÒÂ
0	2	5	0	8	3200					0																°Ù½áØ¤ÒÂ
0	2	5	0	9	4000					0																²øË¿Ç§½á·þ
0	2	5	0	10	5000					0																ÍòÁ÷¹é×ÚÒÂ
0	2	6	4	1	100					0																´Ö²¼ÒÂ
0	2	6	4	2	100					0																´Ö²¼ÒÂ
0	2	6	4	3	100					0																´Ö²¼ÒÂ
0	2	6	4	4	100					0																´Ö²¼ÒÂ
0	2	6	4	5	6000					0																»Æ½õ¶ÌÉÀ
0	2	6	4	6	10000					0																Ö¯¼×¶ÌÉÀ
0	2	6	4	7	15000					0																Ðþ»Æ¶Ì¼×
0	2	6	4	8	20000					0																±Ì»ªÅÛ
0	2	6	4	9	25000					0																ÏàÈçÅÛ
0	2	6	4	10	30000					0																è¯ÁúÅÛ
0	2	7	2	1	100					0																É³Äá·þ
0	2	7	2	2	400					0																É®ÒÂ£¨Å®£©
0	2	7	2	3	800					0																°ÙñÄÒÂ£¨Å®£©
0	2	7	2	4	1000					0																°²ÍÓ»á£¨Å®£©
0	2	7	2	5	2000					0																Óô¶àÂÞÉ®£¨Å®£©
0	2	7	2	6	3000					0																É®Ù¤Àæ£¨Å®£©
0	2	7	2	7	4000					0																ÔÂ°×ôÂôÄ£¨Å®£©
0	2	7	2	8	5000					0																Ã÷¾²ôÂôÄ£¨Å®£©
0	2	7	2	9	7500					0																½ðÂÆôÂôÄ£¨Å®£©
0	2	7	2	10	10000					0																Æß±¦ôÂôÄ£¨Å®£©
0	2	8	3	1	100					0																Å®Ê½µÀÒÂ
0	2	8	3	2	300					0																ÐÞÕæµÀÒÂ
0	2	8	3	3	600					0																»ðÍéµÀÒÂ
0	2	8	3	4	900					0																±ÌÏ¼µÀÒÂ
0	2	8	3	5	1600					0																°ËØÔµÀÒÂ
0	2	8	3	6	2500					0																º®Ã·µÀÒÂ
0	2	8	3	7	3500					0																ÎÞ¼«µÀÒÂ
0	2	8	3	8	4500					0																µØÔµµÀÒÂ
0	2	8	3	9	6000					0																±ù²ÏµÀÒÂ
0	2	8	3	10	8000					0																Áúç¯µÀÒÂ
0	2	9	0	1	100					0																Êñ½õÒÂ
0	2	9	0	2	500					0																ç±Ë¿ÒÂ
0	2	9	0	3	1000					0																½õÖÙÒÂ
0	2	9	0	4	2500					0																ÁéÉß×°
0	2	9	0	5	6000					0																ÐþÀêôÃ
0	2	9	0	6	10000					0																ºÚõõôÃ
0	2	9	0	7	15000					0																»¢Æ¤ôÃ
0	2	9	0	8	20000					0																ÔÏÄÞÉÑ
0	2	9	0	9	25000					0																ÃÔ»êÉÑ
0	2	9	0	10	30000					0																¾ÅÎ²°×ºüôÃ
0	7	0	0	1	100					0																É³ÃÖ½ä¹¿
0	7	0	0	2	250					0																É®½ä¹¿
0	7	0	0	3	500					0																·ðÓ¡½ä¹¿
0	7	0	0	4	800					0																É®åÈ½ä¹¿
0	7	0	0	5	1200					0																çûÂ®Ã±
0	7	0	0	6	1800					0																ÁÕÁ«Ã±
0	7	0	0	7	2500					0																Ü½ÈØÃ±
0	7	0	0	8	3200					0																ÚÅÂØÃ±
0	7	0	0	9	4000					0																ÄîÄþÃ±
0	7	0	0	10	5000					0																ÅþÂ¬Ã±
0	7	1	4	1	100					0																Ä¾ô¢
0	7	1	4	2	200					0																»ÆÑîÄ¾ô¢
0	7	1	4	3	400					0																Ç¬À¤½á
0	7	1	4	4	700					0																Ì«¼«¹Ú
0	7	1	4	5	1000					0																°ËØÔ½í
0	7	1	4	6	1500					0																Ç¬Ý¨½í
0	7	1	4	7	2000					0																ÎåÔÀ¹Ú
0	7	1	4	8	2500					0																ÉÏÇå¹Ú
0	7	1	4	9	3200					0																ÐÇ¹Ú
0	7	1	4	10	4000					0																ÎåÀÏ¹Ú
0	7	2	0	1	100					0																ÖñóÒ
0	7	2	0	2	300					0																ÓæóÒ
0	7	2	0	3	600					0																Õ¿Â¬²ÝÃ±
0	7	2	0	4	1000					0																Üïô§²ÝÃ±
0	7	2	0	5	1600					0																ÐþÉ´ÃæÕÖ
0	7	2	0	6	2400					0																ÇàÉ·ÃæÕÖ
0	7	2	0	7	3500					0																ÈËÆ¤ÃæÕÖ
0	7	2	0	8	4800					0																Îå¶¾·¢½á
0	7	2	0	9	6400					0																°Ù¶¾·¢½á
0	7	2	0	10	8000					0																ÐÞÂÞ·¢½á
0	7	3	3	1	120					0																Èå½í
0	7	3	3	2	320					0																½øÏÍ¹Ú
0	7	3	3	3	750					0																Ô½ÃÀ¹Ú
0	7	3	3	4	1200					0																·ÉÑà¹Ú
0	7	3	3	5	1800					0																õõ²õ¹Ú
0	7	3	3	6	2500					0																ÀÅçð¹Ú
0	7	3	3	7	3700					0																è¬çó¹Ú
0	7	3	3	8	5000					0																×Ï½ð·¢¹Ú
0	7	3	3	9	6000					0																Æß±¦·¢¹Ú
0	7	3	3	10	7500					0																Í¨Ìì·¢¹Ú
0	7	4	2	1	370					0																Í­¿ø
0	7	4	2	2	610					0																°ëÃæ¿ø
0	7	4	2	3	1120					0																Ë«Ãæ¿ø
0	7	4	2	4	1800					0																Ìú¿ø
0	7	4	2	5	2700					0																¾«Í­Í·¿ø
0	7	4	2	6	3700					0																¸Ö¿ø
0	7	4	2	7	5100					0																Òø¿ø
0	7	4	2	8	6500					0																ÎÚ¸Ö¿ø
0	7	4	2	9	8100					0																½ð¿ø
0	7	4	2	10	10000					0																ÑÚÈÕ¿ø
0	7	5	2	1	60					0																ÆÆ²¼½í
0	7	5	3	2	160					0																°Ë·½½í
0	7	5	3	3	370					0																åÐÒ£½í
0	7	5	3	4	600					0																Â¶Ìì½í
0	7	5	3	5	900					0																°×Ê³»·
0	7	5	3	6	1200					0																ÁðÁ§»·
0	7	5	3	7	1800					0																Ë«²ãÁðÁ§»·
0	7	5	3	8	2500					0																ÐÅÒå»·
0	7	5	3	9	3000					0																ÇéÒå»·
0	7	5	3	10	3700					0																ÕªÐÇ»·
0	7	6	1	1	120					0																²¼½í
0	7	6	1	2	320					0																Æ½¶¥½í
0	7	6	1	3	750					0																²¼ÈÞ½í
0	7	6	1	4	1200					0																Ó¥Óð½í
0	7	6	1	5	1800					0																ì½Ë¿·¢´ø
0	7	6	1	6	2500					0																½ðË¿¹Ú
0	7	6	1	7	3700					0																Öìç²¹Ú
0	7	6	1	8	5000					0																Ó¨çåÃ±
0	7	6	1	9	6000					0																²ÏË¿Ã±
0	7	6	1	10	7500					0																ÎÚ²ÏÃ±
0	7	7	1	1	100					0																ÊÍÄáÃ±
0	7	7	1	2	250					0																ÊÍÄáÃ±
0	7	7	1	3	500					0																ÊÍÄáÃ±
0	7	7	1	4	800					0																ÊÍÄáÃ±
0	7	7	1	5	1200					0																ÇàÃ±
0	7	7	1	6	1800					0																ÇàÓ§Ã±
0	7	7	1	7	2500					0																ÌìÇàÃ±
0	7	7	1	8	3200					0																³àÓ°·¢¹Ú
0	7	7	1	9	4000					0																ÎÞÏà·¨¹Ú
0	7	7	1	10	5000					0																¹ÛÒô·¨¹Ú
0	7	8	2	1	100					0																ÒøîÎ
0	7	8	2	2	200					0																ÒøÁ±îÎ
0	7	8	2	3	400					0																ÒøÁ´îÎ
0	7	8	2	4	700					0																Òø»·îÎ
0	7	8	2	5	1000					0																½ðîÎ
0	7	8	2	6	1500					0																½ð»·îÎ
0	7	8	2	7	2000					0																½ð²½Ò¡
0	7	8	2	8	2500					0																ôä´äîÎ
0	7	8	2	9	3200					0																Ì«¼«¹Ú
0	7	8	2	10	4000					0																ÒõÑôÎÞ¼«¹Ú
0	5	0	3	1	70					0																²ÝÐ¬
0	5	0	3	2	260					0																²¼Ð¬
0	5	0	3	3	650					0																Ç§²ã²¼Ð¬
0	5	0	3	4	1000					0																¸ðÐ¬
0	5	0	3	5	1600					0																²Ô¸ðÐ¬
0	5	0	3	6	2500					0																°ÙÄê²Ô¸ðÐ¬
0	5	0	3	7	3300					0																ïôÎ²×ØÐ¬
0	5	0	3	8	3850					0																ÑþÐ¬
0	5	0	3	9	5000					0																·ïÎ²×ØÐ¬
0	5	0	3	10	6400					0																¾Å½ÚÝÅÆÑÐ¬
0	5	1	0	1	150					0																Å£Æ¤Ñ¥
0	5	1	0	2	600					0																ÝðÑ¥
0	5	1	0	3	1400					0																ÎÚÆ¤Ñ¥
0	5	1	0	4	2400					0																ÌÙÂÜÑ¥
0	5	1	0	5	3600					0																ç³ÂÞÑ¥
0	5	1	0	6	5000					0																ÂÌ´äÑ¥
0	5	1	0	7	6500					0																»¢Æ¤Ñ¥
0	5	1	0	8	9000					0																Ï¬Æ¤Ñ¥
0	5	1	0	9	12000					0																Áú÷ëÑ¥
0	5	1	0	10	14500					0																Ìì²ÏÑ¥
0	5	2	2	1	70					0																ÐåÐ¬
0	5	2	2	2	260					0																ç±Ë¿Ñ¥
0	5	2	2	3	650					0																½õÐ¬
0	5	2	2	4	1000					0																Ô§ÑìÑ¥
0	5	2	2	5	1600					0																¶ÐÐ¬
0	5	2	2	6	2500					0																À¶ÓñÐ¬
0	5	2	2	7	3300					0																Á¬·ïÑ¥
0	5	2	2	8	3850					0																èóºìÑ¥
0	5	2	2	9	5000					0																°×³ñÑ¥
0	5	2	2	10	6400					0																½ðÂÆÐ¬
0	5	3	2	1	150					0																Â¹Æ¤Ñ¥
0	5	3	2	2	600					0																ÜÁÐ¬
0	5	3	2	3	1400					0																Òø¶ÐÑ¥
0	5	3	2	4	2400					0																Ü½ÈØÑ¥
0	5	3	2	5	3600					0																»ðÏèÑ¥
0	5	3	2	6	5000					0																ÜÙÔÆÑ¥
0	5	3	2	7	6500					0																ËªæýÑ¥
0	5	3	2	8	9000					0																Ñ©Ó¨Ñ¥
0	5	3	2	9	12000					0																³ÒÉ³Ñ¥
0	5	3	2	10	14500					0																·É·ïÑ¥
0	6	0	1	1	50					0																Å£Æ¤Ñü´ø
0	6	0	1	2	300					0																ÀÇÆ¤Ñü´ø
0	6	0	1	3	800					0																ÎÚÌÙÑü´ø
0	6	0	1	4	1800					0																òþÆ¤Ñü´ø
0	6	0	1	5	3000					0																öùÆ¤Ñü´ø
0	6	0	1	6	4500					0																ÏóÆ¤Ñü´ø
0	6	0	1	7	5400					0																öèÆ¤Ñü´ø
0	6	0	1	8	7000					0																Ï¬½ÇÑü´ø
0	6	0	1	9	9500					0																ÁúÁÛÑü´ø
0	6	0	1	10	12000					0																Ìì²ÏÑü´ø
0	6	1	3	1	330					0																ÇàÍ­Ñü´ø
0	6	1	3	2	900					0																ÎýÑü´ø
0	6	1	3	3	2400					0																»ÆÍ­Ñü´ø
0	6	1	3	4	3700					0																ÌúÑü´ø
0	6	1	3	5	5400					0																¾«¸ÖÑü´ø
0	6	1	3	6	7400					0																ÒøÑü´ø
0	6	1	3	7	9800					0																ÃØÒøÑü´ø
0	6	1	3	8	14000					0																½ðÑü´ø
0	6	1	3	9	17000					0																ÎÚ½ðÑü´ø
0	6	1	3	10	20000					0																°×½ðÑü´ø
0	8	0	0	1	100					0																ÇàÍ­ÊÖïí
0	8	0	0	2	300					0																Á·Í­ÊÖïí
0	8	0	0	3	600					0																ïÙÌú»¤Íó
0	8	0	0	4	1000					0																ÒøË¿ïí
0	8	0	0	5	1800					0																½ðË¿ïí
0	8	0	0	6	2600					0																°×Óñïí
0	8	0	0	7	3600					0																ôä´äÓñïí
0	8	0	0	8	4900					0																ÎÂÁ¹Óñïí
0	8	0	0	9	6400					0																±ùÆÇº®Óñïí
0	8	0	0	10	8100					0																Áú·ïÑªÓñïí
0	8	1	0	1	100					0																Å£Æ¤»¤Íó
0	8	1	0	2	300					0																ÀÇÆ¤»¤Íó
0	8	1	0	3	600					0																ÎÚÌÙ»¤Íó
0	8	1	0	4	1000					0																òþÆ¤»¤Íó
0	8	1	0	5	1800					0																öùÆ¤»¤Íó
0	8	1	0	6	2600					0																ÏóÆ¤»¤Íó
0	8	1	0	7	3600					0																öèÆ¤»¤Íó
0	8	1	0	8	4900					0																Ï¬½Ç»¤Íó
0	8	1	0	9	6400					0																ÁúÁÛ»¤Íó
0	8	1	0	10	8100					0																Ìì²Ï»¤Íó
0	10	0	4	1	5000					0																ÁÓ»ÆÂí
0	10	0	4	2	5000					0																ÁÓ»ÆÂí
0	10	0	4	3	10000					0																»ÆÂí
0	10	0	4	4	10000					0																»ÆÂí
0	10	0	4	5	20000					0																»Ææô
0	10	0	4	6	20000					0																»Ææô
0	10	0	4	7	50000					0																´óÍð»ÆÂí
0	10	0	4	8	50000					0																´óÍð»ÆÂí
0	10	0	4	9	100000					0																·É»Æ
0	10	0	4	10	100000					0																·É»Æ
0	10	1	1	1	5000					0																ÁÓÇàÂí
0	10	1	1	2	5000					0																ÁÓÇàÂí
0	10	1	1	3	10000					0																Çàæõ
0	10	1	1	4	10000					0																Çàæõ
0	10	1	1	5	20000					0																×Ïæò
0	10	1	1	6	20000					0																×Ïæò
0	10	1	1	7	50000					0																´óÍðÇàÂí
0	10	1	1	8	50000					0																´óÍðÇàÂí
0	10	1	1	9	100000					0																æèæò
0	10	1	1	10	100000					0																æèæò
0	10	2	0	1	5000					0																ÁÓ°×Âí
0	10	2	0	2	5000					0																ÁÓ°×Âí
0	10	2	0	3	10000					0																°×Âí
0	10	2	0	4	10000					0																°×Âí
0	10	2	0	5	20000					0																Óñ»¨æõ
0	10	2	0	6	20000					0																Óñ»¨æõ
0	10	2	0	7	50000					0																´óÍð°×Âí
0	10	2	0	8	50000					0																´óÍð°×Âí
0	10	2	0	9	100000					0																óXóZ
0	10	2	0	10	100000					0																óXóZ
0	10	3	2	1	5000					0																ÁÓºÚÂí
0	10	3	2	2	5000					0																ÁÓºÚÂí
0	10	3	2	3	10000					0																ºÚÂí
0	10	3	2	4	10000					0																ºÚÂí
0	10	3	2	5	20000					0																ºÚæë
0	10	3	2	6	20000					0																ºÚæë
0	10	3	2	7	50000					0																´óÍðºÚÂí
0	10	3	2	8	50000					0																´óÍðºÚÂí
0	10	3	2	9	100000					0																ÎÚæí
0	10	3	2	10	100000					0																ÎÚæí
0	10	4	3	1	5000					0																ÁÓºìÂí
0	10	4	3	2	5000					0																ÁÓºìÂí
0	10	4	3	3	10000					0																ºìÂí
0	10	4	3	4	10000					0																ºìÂí
0	10	4	3	5	20000					0																ºìæê
0	10	4	3	6	20000					0																ºìæê
0	10	4	3	7	50000					0																´óÍðº¹ÑªÂí
0	10	4	3	8	50000					0																´óÍðº¹ÑªÂí
0	10	4	3	9	100000					0																³àæ÷
0	10	4	3	10	100000					0																³àæ÷
0	10	5	2	1	15000000					0																ÎÚÔÆÌ¤Ñ©
0	10	5	3	2	15000000					0																³àÍÃ
0	10	5	1	3	15000000					0																¾øÓ°
0	10	5	4	4	15000000					0																µÄÂ¬
0	10	5	0	5	15000000					0																ÕÕÒ¹ÓñÊ¨×Ó
0	10	5	2	6	15000000					0																ÎÚÔÆÌ¤Ñ©
0	10	5	3	7	15000000					0																³àÍÃ
0	10	5	1	8	15000000					0																¾øÓ°
0	10	5	4	9	15000000					0																µÄÂ¬
0	10	5	0	10	15000000					0																ÕÕÒ¹ÓñÊ¨×Ó
5	0	0	0	1	500					0																ÍÁµØ·û
4	148	0	0	1	1					0																Á«×Ó
4	119	0	0	1	1					0																¼¦ÍÈ
4	165	0	0	1	1					0																Âêè§½äÖ¸
0	2	10	1	1	100					0																½õÉÀ
0	2	10	1	2	400					0																ç²ÀöÉÀ
0	2	10	1	3	800					0																»¨É´ÉÀ
0	2	10	1	4	2000					0																Êñ½õÉÀ
0	2	10	1	5	5000					0																ËÎ½õÉÀ
0	2	10	1	6	7000					0																ÔÆ½õÉÀ
0	2	10	1	7	9000					0																ÇàÂÞÉÀ
0	2	10	1	8	12000					0																ÆáÉ´ÉÀ
