等级	升级需要经验	升级附加经验（万）	1转附加经验	2转附加经验	3转附加经验	4转附加经验	5转附加经验	6转附加经验	7转附加经验
183	200000000		200000	600000	800000	1800000	2800000	2800000	8200000
184	200000000		200000	600000	800000	1800000	2800000	2800000	8200000
185	200000000		200000	600000	800000	1800000	2800000	2800000	8200000
186	200000000		200000	600000	800000	1800000	2800000	2800000	10200000
187	200000000		200000	600000	800000	1800000	2800000	2800000	10200000
188	200000000		200000	600000	800000	1800000	2800000	2800000	10200000
189	200000000		200000	600000	800000	1800000	2800000	2800000	10200000
190	200000000		200000	600000	800000	1800000	2800000	2800000	10200000
191	200000000		200000	600000	800000	1800000	2800000	2800000	19800000
192	200000000		200000	600000	800000	1800000	2800000	2800000	19800000
193	200000000		200000	600000	800000	1800000	2800000	2800000	19800000
194	200000000		200000	600000	800000	1800000	2800000	2800000	19800000
195	200000000		200000	600000	800000	1800000	2800000	2800000	19800000
196	200000000		200000	600000	800000	1800000	2800000	2800000	39800000
197	200000000		200000	600000	800000	1800000	2800000	2800000	39800000
198	200000000		200000	600000	800000	1800000	2800000	2800000	39800000
199	200000000	19800000	800000	1800000	1800000	1800000	5800000	39800000	39800000
200	200000000	19800000	800000	1800000	1800000	3800000	5800000	39800000	39800000
