EqName	SwordShieldWFreeStand	ShieldSwordWFreeStand	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	SwordShieldWStand	ShieldSwordWStand	GuqinWStand1	GuqinWStand2	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	SwordShieldWWalk	ShieldSwordWWalk	GuqinWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	SwordShieldWRun	ShieldSwordWRun	GuqinWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	SwordShieldWWound	ShieldSwordWWound	GuqinWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	SwordShieldWDie	ShieldSwordWDie	GuqinWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	SwordShieldWChop	SwordShieldWCut	ShieldSwordWChop	ShieldSwordWCut	GuqinWPuncture	GuqinWCut	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SwordShieldWMagic	ShieldSwordWMagic	GuqinWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
Ph«n ß«u 15	80,8,1	80,8,1							120,8,1	120,8,1	80,8,1	88,8,1						248,8,1	248,8,1	96,8,1						96,8,1	96,8,1	192,8,1					104,8,1	104,8,1	88,8,1					96,8,1	96,8,1	96,8,1								232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1						176,8,1	176,8,1	104,8,1												
Ph«n ß«u 16	80,8,1	80,8,1							120,8,1	120,8,1	80,8,1	88,8,1						248,8,1	248,8,1	96,8,1						96,8,1	96,8,1	192,8,1					104,8,1	104,8,1	88,8,1					96,8,1	96,8,1	96,8,1								232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1						176,8,1	176,8,1	104,8,1												
Ph«n ß«u 17	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1		112,8,1	112,8,1
Ph«n ß«u 18	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	88,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1		112,8,1	112,8,1
Ph«n ß«u 19	80,8,1	80,8,1							120,8,1	120,8,1	80,8,1	88,8,1						248,8,1	248,8,1	96,8,1						96,8,1	96,8,1	192,8,1					104,8,1	104,8,1	88,8,1					96,8,1	96,8,1	96,8,1								232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1						176,8,1	176,8,1	104,8,1												
Ph«n ß«u 20	80,8,1	80,8,1							120,8,1	120,8,1	80,8,1	88,8,1						248,8,1	248,8,1	96,8,1						96,8,1	96,8,1	192,8,1					104,8,1	104,8,1	88,8,1					96,8,1	96,8,1	96,8,1								232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1						176,8,1	176,8,1	104,8,1												
Ph«n ß«u 21	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1		112,8,1	112,8,1
Ph«n ß«u 22	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1		112,8,1	112,8,1
Ph«n ß«u 23	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1		112,8,1	112,8,1
Ph«n ß«u 24	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1		112,8,1	112,8,1
Ph«n ß«u 25	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1		112,8,1	112,8,1
Ph«n ß«u 26	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1		112,8,1	112,8,1
Ph«n ß«u 27	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1		112,8,1	112,8,1
Ph«n ß«u 28	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1		112,8,1	112,8,1
Ph«n ß«u 29	80,8,1	80,8,1							120,8,1	120,8,1	80,8,1	88,8,1						248,8,1	248,8,1	96,8,1						96,8,1	96,8,1	192,8,1					104,8,1	104,8,1	88,8,1					96,8,1	96,8,1	96,8,1								232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1						176,8,1	176,8,1	104,8,1												
Ph«n ß«u 30	80,8,1	80,8,1							120,8,1	120,8,1	80,8,1	88,8,1						248,8,1	248,8,1	96,8,1						96,8,1	96,8,1	192,8,1					104,8,1	104,8,1	88,8,1					96,8,1	96,8,1	96,8,1								232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1						176,8,1	176,8,1	104,8,1												
Ph«n ß«u 31	80,8,1	80,8,1							120,8,1	120,8,1	80,8,1	88,8,1						248,8,1	248,8,1	96,8,1						96,8,1	96,8,1	192,8,1					104,8,1	104,8,1	88,8,1					96,8,1	96,8,1	96,8,1								232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1						176,8,1	176,8,1	104,8,1												
Ph«n ß«u 32	80,8,1	80,8,1							120,8,1	120,8,1	80,8,1	88,8,1						248,8,1	248,8,1	96,8,1						96,8,1	96,8,1	192,8,1					104,8,1	104,8,1	88,8,1					96,8,1	96,8,1	96,8,1								232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1						176,8,1	176,8,1	104,8,1												
Ph«n ß«u 33	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Ph«n ß«u 34	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Ph«n ß«u 35	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	120,8,1	104,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	120,8,1	120,8,1
Ph«n ß«u 36	80,8,1	80,8,1							120,8,1	120,8,1	80,8,1	88,8,1						248,8,1	248,8,1	96,8,1						96,8,1	96,8,1	192,8,1					104,8,1	104,8,1	88,8,1					96,8,1	96,8,1	96,8,1								232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1						176,8,1	176,8,1	104,8,1												
Ph«n ß«u 37	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	104,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1	112,8,1	112,8,1
Ph«n ß«u 38	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Ph«n ß«u 39	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	80,8,1	88,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	192,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	88,8,1	112,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	144,8,1	240,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	104,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
