×°±¸Ãû³Æ	µ¶¶ÜÕ¾Á¢1	¶Üµ¶Õ¾Á¢1	¿ÕÊÖÕ¾Á¢1	¿ÕÊÖÕ¾Á¢2	¿ÕÊÖÕ¾Á¢3	¶ÌÎäÆ÷Õ¾Á¢	³¤ÎäÆ÷Õ¾Á¢	Ë«ÎäÆ÷Õ¾Á¢	µ¶¶ÜÎäÆ÷Õ¾Á¢	¶Üµ¶ÎäÆ÷Õ¾Á¢	¿ÕÊÖ×ßÂ·	ÆÕÍ¨×ßÂ·	¶ÌÎäÆ÷×ßÂ·	³¤ÎäÆ÷×ßÂ·	Ë«ÎäÆ÷×ßÂ·	µ¶¶ÜÎäÆ÷×ßÂ·	¶Üµ¶ÎäÆ÷×ßÂ·	¿ÕÊÖÅÜ²½	ÆÕÍ¨ÅÜ²½	¶ÌÎäÆ÷ÅÜ²½	³¤ÎäÆ÷ÅÜ²½	Ë«ÎäÆ÷ÅÜ²½	µ¶¶ÜÎäÆ÷ÅÜ²½	¶Üµ¶ÎäÆ÷ÅÜ²½	¿ÕÊÖÊÜÉË	¶ÌÎäÆ÷ÊÜÉË	³¤ÎäÆ÷ÊÜÉË	Ë«ÎäÆ÷ÊÜÉË	µ¶¶ÜÎäÆ÷ÊÜÉË	¶Üµ¶ÎäÆ÷ÊÜÉË	¿ÕÊÖËÀÍö	¶ÌÎäÆ÷ËÀÍö	³¤ÎäÆ÷ËÀÍö	Ë«ÎäÆ÷ËÀÍö	µ¶¶ÜÎäÆ÷ËÀÍö	¶Üµ¶ÎäÆ÷ËÀÍö	¿ÕÊÖ¹¥»÷	¶ÌÎäÆ÷´Ì	¶ÌÎäÆ÷¿³	³¤ÎäÆ÷´Á	³¤ÎäÆ÷Åü	Ë«ÎäÆ÷»®	Ë«ÎäÆ÷ÔÒ	µ¶¶ÜÎäÆ÷»®	µ¶¶ÜÎäÆ÷¿³	¶Üµ¶ÎäÆ÷»®	¶Üµ¶ÎäÆ÷¿³	°µÆ÷Í¶ÖÀ	¿ÕÊÖÄ§·¨	¶ÌÎäÆ÷Ä§·¨	³¤ÎäÆ÷Ä§·¨	Ë«ÎäÆ÷Ä§·¨	µ¶¶ÜÎäÆ÷Ä§·¨	¶Üµ¶ÎäÆ÷Ä§·¨	´ò×ø	ÌøÔ¾	ÆïÂíÕ¾Á¢	ÆïÂí×ß¶¯	ÆïÂíÅÜ²½	ÆïÂí¹¥»÷Åü	ÆïÂí¹¥»÷´Ì	ÆïÂíÄ§·¨	ÆïÂíÊÜÉË	ÆïÂíËÀÍö	ÆïÂíÕ¾Á¢1	ÆïÂíÕ¾Á¢2
Phi Phong N÷ 21	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Trang søc n÷ ThiÕu L©m	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1	88,8,1	88,8,1			72,8,1	64,8,1	56,8,1	96,8,1			104,8,1	96,8,1	128,8,1	144,8,1			144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1					128,8,1	96,8,1	96,8,1	104,8,1	128,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
ÌìÍõ¹Ò¼þÅ®	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			64,8,1	64,8,1	48,8,1	48,8,1			104,8,1	120,8,1	80,8,1	80,8,1			96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1					96,8,1	96,8,1	80,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
ÌÆÃÅ¹Ò¼þÅ®	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			64,8,1	64,8,1	48,8,1	48,8,1			104,8,1	120,8,1	80,8,1	80,8,1			96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1					96,8,1	96,8,1	80,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Îå¶¾¹Ò¼þÅ®	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			64,8,1	64,8,1	48,8,1	48,8,1			104,8,1	120,8,1	80,8,1	80,8,1			96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1					96,8,1	96,8,1	80,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
¶ëÃ¼¹Ò¼þÅ®	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			64,8,1	64,8,1	48,8,1	48,8,1			104,8,1	120,8,1	80,8,1	80,8,1			96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1					96,8,1	96,8,1	80,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
´äÑÌ¹Ò¼þÅ®	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			64,8,1	64,8,1	48,8,1	48,8,1			104,8,1	120,8,1	80,8,1	80,8,1			96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1					96,8,1	96,8,1	80,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Ø¤°ï¹Ò¼þÅ®	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			64,8,1	64,8,1	48,8,1	48,8,1			104,8,1	120,8,1	80,8,1	80,8,1			96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1					96,8,1	96,8,1	80,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
ÌìÈÌ¹Ò¼þÅ®	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			64,8,1	64,8,1	48,8,1	48,8,1			104,8,1	120,8,1	80,8,1	80,8,1			96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1					96,8,1	96,8,1	80,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Îäµ±¹Ò¼þÅ®	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			64,8,1	64,8,1	48,8,1	48,8,1			104,8,1	120,8,1	80,8,1	80,8,1			96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1					96,8,1	96,8,1	80,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
À¥ÂØ¹Ò¼þÅ®	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			64,8,1	64,8,1	48,8,1	48,8,1			104,8,1	120,8,1	80,8,1	80,8,1			96,8,1	104,8,1	104,8,1	104,8,1	128,8,1	128,8,1	96,8,1					96,8,1	96,8,1	80,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
»ªÉ½¹Ò¼þÅ®	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			64,8,1	64,8,1	48,8,1	48,8,1			104,8,1	120,8,1	80,8,1	80,8,1			96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1					96,8,1	96,8,1	80,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
ÎäÄÂ¹Ò¼þÅ®	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	120,8,1	120,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	248,8,1	248,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	104,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	176,8,1	176,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
ÉÙÁÖ¹Ò¼þÅ®-ÌØÐ§	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1			120,8,1	120,8,1	120,8,1	120,8,1	120,8,1			88,8,1	88,8,1	88,8,1	88,8,1	88,8,1			72,8,1	64,8,1	56,8,1	96,8,1			104,8,1	96,8,1	128,8,1	144,8,1			144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1					128,8,1	96,8,1	96,8,1	104,8,1	128,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
ÌìÍõ¹Ò¼þÅ®-ÌØÐ§	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			64,8,1	64,8,1	48,8,1	48,8,1			104,8,1	120,8,1	80,8,1	80,8,1			96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1					96,8,1	96,8,1	80,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
ÌÆÃÅ¹Ò¼þÅ®-ÌØÐ§	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			64,8,1	64,8,1	48,8,1	48,8,1			104,8,1	120,8,1	80,8,1	80,8,1			96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1					96,8,1	96,8,1	80,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Îå¶¾¹Ò¼þÅ®-ÌØÐ§	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			64,8,1	64,8,1	48,8,1	48,8,1			104,8,1	120,8,1	80,8,1	80,8,1			96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1					96,8,1	96,8,1	80,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
¶ëÃ¼¹Ò¼þÅ®-ÌØÐ§	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			64,8,1	64,8,1	48,8,1	48,8,1			104,8,1	120,8,1	80,8,1	80,8,1			96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1					96,8,1	96,8,1	80,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
´äÑÌ¹Ò¼þÅ®-ÌØÐ§	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			64,8,1	64,8,1	48,8,1	48,8,1			104,8,1	120,8,1	80,8,1	80,8,1			96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1					96,8,1	96,8,1	80,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Ø¤°ï¹Ò¼þÅ®-ÌØÐ§	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			64,8,1	64,8,1	48,8,1	48,8,1			104,8,1	120,8,1	80,8,1	80,8,1			96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1					96,8,1	96,8,1	80,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
ÌìÈÌ¹Ò¼þÅ®-ÌØÐ§	80,8,1	80,8,1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1			64,8,1	64,8,1	48,8,1	48,8,1			104,8,1	120,8,1	80,8,1	80,8,1			96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1					96,8,1	96,8,1	80,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
